student,true_group
Maya,correct
Sofia,correct
Amara,correct
Dev,correct
Ines,correct
Tobias,correct
Nadia,correct
Ruth,correct
Jake,add_across
Ben,add_across
Carlos,add_across
Hana,add_across
Omar,add_across
Zoe,add_across
Priya,multiply_instead_of_add
Leo,multiply_instead_of_add
Yuki,multiply_instead_of_add
Marco,multiply_instead_of_add
Aisha,multiply_instead_of_add
Ravi,lcd_numerators_unchanged
Elena,lcd_numerators_unchanged
Samir,lcd_numerators_unchanged
Kofi,lcd_numerators_unchanged
Lina,lcd_numerators_unchanged
Noor,lcd_numerators_unchanged
Tariq,subtract_after_lcd
Mei,subtract_after_lcd
Diego,subtract_after_lcd
Hannah,subtract_after_lcd
Felix,unclassified
